latlon,planning_area_id
52.4695802_13.3370521,07300618
52.474624_13.3228019,07300515
52.4820008_13.424566,08100101
52.4671998_13.330337,07300516
52.4671661_13.3303003,07300516
52.482022_13.3292395,04501151
52.4815662_13.3287138,04501151
52.4921559_13.3877601,02200211
52.5163454_13.3090175,04300621
52.4747773_13.314737,04400835
52.4747023_13.3147299,04400835
52.475115_13.3139363,04400834
52.4750948_13.3138297,04400834
52.4853342_13.3270952,04501150
52.4845653_13.3304982,04501150
52.4845611_13.330578,04501150
52.4821581_13.3293785,04501151
52.5349997_13.3799485,01100414
52.480875_13.3131157,04501148
52.4743656_13.314986,04400835
52.4748648_13.3138789,04400834
52.4748247_13.3138421,04400834
52.4748328_13.313921,04400834
52.4881336_13.2935714,04400727
52.4953293_13.2873191,04500937
52.5849218_13.2282808,12400616
52.4694756_13.3335663,07300618
52.4695143_13.333604,07300618
52.5386675_13.4249064,03701658
52.5358031_13.4273371,03701658
52.4638656_13.4337255,08100209
52.4927945_13.3866443,02200209
52.5307528_13.4358626,03701660
52.4977539_13.3609033,07100103
52.3858705_13.3955459,07601546
52.3859386_13.3955212,07601546
52.5191186_13.1975627,05200630
52.5190945_13.197556,05200630
52.5192008_13.1974715,05200630
52.5609741_13.3686657,12100101
52.5485589_13.3630598,01401043
52.5492072_13.4124394,03601142
52.4824498_13.3206747,04501151
52.4961892_13.2980743,04500938
52.497507_13.295826,04500938
52.4974816_13.2958316,04500938
52.4976_13.295763,04500938
52.497585_13.2956405,04500938
52.497561_13.2956742,04500938
52.4975569_13.2956046,04500938
52.4975343_13.2956675,04500938
52.4975884_13.2955866,04500938
52.4807131_13.3200643,04501148
52.5301388_13.3359035,01200519
52.4935712_13.4132846,02200213
52.3865423_13.3947194,07601546
52.3865432_13.3946176,07601546
52.3865137_13.3946235,07601546
52.3864809_13.3946337,07601546
52.3865148_13.3947197,07601546
52.386483_13.3947199,07601546
52.486052_13.3497352,07200409
52.4858679_13.3517929,07200409
52.4660078_13.3074098,06100101
52.4827406_13.350455,07200410
52.4824823_13.3498708,07200410
52.4823166_13.3499065,07200410
52.4812032_13.3213903,04501151
52.4723362_13.3198394,04400835
52.4724452_13.3195112,04400835
52.4725479_13.317949,04400835
52.4725404_13.3180052,04400835
52.472622_13.3174076,04400835
52.4726153_13.3174704,04400835
52.4734375_13.3140772,04400834
52.4736136_13.3153072,04400835
52.4792551_13.2934403,04400830
52.4755429_13.3281219,07300515
52.4518584_13.3333151,06100206
52.4518283_13.3334023,06100206
52.4517952_13.3332591,06100206
52.4518042_13.3333924,06100206
52.4510214_13.3356509,06100206
52.4717007_13.3274576,07300515
52.4717244_13.3274425,07300515
52.471703_13.3274023,07300515
52.504904_13.3811964,02100101
52.451303_13.2699847,06400842
52.4508093_13.3368853,06100206
52.4590577_13.3155001,06100101
52.4579496_13.3213283,06100102
52.4588883_13.3214167,06100102
52.4588691_13.3214518,06100102
52.4624941_13.5227383,09200511
52.471829_13.3203837,07300515
52.4720796_13.3196333,04400835
52.4719978_13.31948,04400835
52.4612462_13.5246799,09200511
52.4597218_13.337881,06100209
52.4632057_13.5205334,09200511
52.4599819_13.5234267,09200511
52.4582191_13.3222936,06100102
52.4616493_13.3256713,06100103
52.4626767_13.3266716,06100103
52.4575558_13.3218087,06100102
52.4591536_13.5257389,09200511
52.4720774_13.3275085,07300515
52.4720589_13.3275647,07300515
52.4720083_13.3275625,07300515
52.4719727_13.3275074,07300515
52.4699843_13.3241268,07300516
52.4690811_13.3119952,04400835
52.469045_13.3120499,04400835
52.4690793_13.3120879,04400835
52.4691264_13.3121228,04400835
52.4673234_13.3083345,06400844
52.4799914_13.4419597,08100415
52.5026636_13.3886962,02100102
52.4869391_13.3383776,07200307
52.486624_13.3384211,07200307
52.4815302_13.342181,07200308
52.5512044_13.2075829,05100313
52.4692098_13.3270246,07300516
52.4716685_13.3302789,07300517
52.4843561_13.3534875,07200410
52.4843174_13.3534375,07200410
52.4843281_13.3534821,07200410
52.4843988_13.3535267,07200410
52.4844062_13.3535631,07200410
52.4843849_13.3535928,07200410
52.484375_13.3535429,07200410
52.4802463_13.3446961,07200308
52.4546117_13.5172215,09200613
52.4999624_13.4319753,02300315
52.5014627_13.2959473,04500937
52.4862603_13.3323717,04501153
52.4862101_13.3323717,04501153
52.4862588_13.3324323,04501153
52.4862552_13.3324725,04501153
52.4862258_13.3324484,04501153
52.4862362_13.3324926,04501153
52.4802846_13.3434202,07200308
52.4767683_13.3773517,07400721
52.4794227_13.6035862,10400941
52.4922815_13.402144,02200210
52.4869956_13.3383383,07200307
52.4870187_13.3384126,07200307
52.486949_13.3384653,07200307
52.4869438_13.3383097,07200307
52.4869514_13.3305353,04501150
52.4869278_13.3305415,04501150
52.50326_13.3369579,04501042
52.5021_13.336481,04501042
52.5020692_13.3364562,04501042
52.5020601_13.3365416,04501042
52.5009978_13.3359781,04501042
52.4386083_13.5495876,09200717
52.4387712_13.5493889,09200717
52.4880308_13.3414364,07200307
52.5075148_13.3062074,04300623
52.5572714_13.3405048,01400939
52.5894876_13.2834041,12200515
52.4623435_13.3216613,06100102
52.4713382_13.3273636,07300516
52.4712094_13.323795,07300516
52.471221_13.3237085,07300516
52.4713702_13.3185486,04400835
52.5265693_13.3351024,01200521
52.4681354_13.3321218,07300618
52.4681096_13.3320972,07300618
52.4635431_13.3257343,06100103
52.4657071_13.3285878,07300516
52.4657049_13.3286413,07300516
52.4657041_13.3287083,07300516
52.46567_13.3286401,07300516
52.4656641_13.3287034,07300516
52.4656374_13.3285854,07300516
52.4656367_13.328634,07300516
52.4656352_13.328701,07300516
52.4656819_13.3287557,07300516
52.4801536_13.3427802,07200308
52.5481267_13.4138842,03601346
52.4664723_13.3279562,07300516
52.4607714_13.3240856,06100102
52.4608079_13.3240653,06100102
52.4608524_13.3241156,06100102
52.4705238_13.332008,07300517
52.4811865_13.4272342,08100206
52.487761_13.3327185,04501152
52.487745_13.3326751,04501152
52.4884911_13.3414615,07200307
